Languages,	Evaluation results
Avg,	1.65
vie_Latn,	4.45
tgk_Cyrl,	1.35
som_Latn,	2.16
heb_Hebr,	1.88
tha_Thai,	0.51
kas_Arab,	0.46
taq_Latn,	1.87
lao_Laoo,	1.01
acm_Arab,	0.61
apc_Arab,	0.75
arb_Arab,	0.89
fra_Latn,	4.06
tur_Latn,	1.22
min_Latn,	1.93
xho_Latn,	1.03
azj_Latn,	2.24
mya_Mymr,	0.14
ita_Latn,	3.18
hun_Latn,	2.69
hat_Latn,	2.12
glg_Latn,	2.59
eus_Latn,	1.24
smo_Latn,	4.31
kaz_Cyrl,	1.21
ars_Arab,	1.22
aeb_Arab,	0.77
yor_Latn,	0.23
ckb_Arab,	0.44
hin_Deva,	1.33
min_Arab,	0.05
gle_Latn,	2.19
pol_Latn,	2.19
nob_Latn,	2.46
guj_Gujr,	0.13
ltz_Latn,	1.48
sin_Sinh,	0.35
jav_Latn,	1.73
arz_Arab,	0.62
sot_Latn,	3.76
sna_Latn,	1.42
dan_Latn,	2.41
mar_Deva,	0.91
slk_Latn,	1.81
tel_Telu,	0.2
acq_Arab,	0.55
mal_Mlym,	0.57
snd_Arab,	0.84
ces_Latn,	1.92
cat_Latn,	4.28
afr_Latn,	2.1
ace_Arab,	0.62
gla_Latn,	2.13
ace_Latn,	1.67
srp_Cyrl,	1.78
mni_Beng,	0.55
slv_Latn,	2.71
als_Latn,	3.69
ell_Grek,	1.24
knc_Arab,	0.11
nso_Latn,	2.81
pbt_Arab,	1.67
zho_Hant,	0.84
epo_Latn,	2.08
plt_Latn,	2.9
bjn_Latn,	1.54
ajp_Arab,	0.64
amh_Ethi,	0.38
bel_Cyrl,	1.56
cym_Latn,	2.31
swe_Latn,	2.33
yue_Hant,	0.27
nld_Latn,	2.62
kir_Cyrl,	1.53
pes_Arab,	1.48
ben_Beng,	0.39
khk_Cyrl,	1.78
lvs_Latn,	2.12
ibo_Latn,	2.31
ukr_Cyrl,	2.56
por_Latn,	2.56
khm_Khmr,	0.56
ron_Latn,	2.24
uzn_Latn,	1.47
kan_Knda,	0.21
hau_Latn,	1.99
lit_Latn,	1.92
arb_Latn,	0.12
rus_Cyrl,	2.21
mkd_Cyrl,	2.41
ceb_Latn,	3.54
kat_Geor,	0.73
ydd_Hebr,	1.06
mri_Latn,	3.7
ind_Latn,	2.79
zsm_Latn,	2.37
urd_Arab,	1.31
azb_Arab,	0.48
bul_Cyrl,	2.25
knc_Latn,	1.58
zul_Latn,	1.11
jpn_Jpan,	1.32
mlt_Latn,	1.73
fin_Latn,	1.67
npi_Deva,	0.58
bjn_Arab,	0.35
kmr_Latn,	2.11
deu_Latn,	2.88
zho_Hans,	0.69
est_Latn,	1.31
kor_Hang,	1.06
tam_Taml,	0.67
sun_Latn,	2.01
nno_Latn,	1.89
eng_Latn,	3.29
swh_Latn,	2.6
isl_Latn,	1.87
hye_Armn,	0.26
spa_Latn,	3.87
ary_Arab,	0.55
