Languages,	Evaluation results
Avg,	1.55
vie_Latn,	2.98
tgk_Cyrl,	1.4
som_Latn,	1.43
heb_Hebr,	1.05
tha_Thai,	0.65
kas_Arab,	1.5
taq_Latn,	1.35
lao_Laoo,	0.76
acm_Arab,	0.47
apc_Arab,	0.68
arb_Arab,	0.95
fra_Latn,	2.55
tur_Latn,	0.68
min_Latn,	1.16
xho_Latn,	1.18
azj_Latn,	1.32
mya_Mymr,	0.08
ita_Latn,	1.89
hun_Latn,	2.17
hat_Latn,	2.09
glg_Latn,	2.24
eus_Latn,	1.66
smo_Latn,	4.21
kaz_Cyrl,	1.41
ars_Arab,	1.22
aeb_Arab,	0.54
yor_Latn,	0.33
ckb_Arab,	0.87
hin_Deva,	2.87
min_Arab,	0.22
gle_Latn,	2.17
pol_Latn,	1.38
nob_Latn,	2.15
guj_Gujr,	1.84
ltz_Latn,	1.21
sin_Sinh,	0.81
jav_Latn,	1.89
arz_Arab,	0.67
sot_Latn,	3.13
sna_Latn,	0.73
dan_Latn,	1.7
mar_Deva,	1.16
slk_Latn,	2.47
tel_Telu,	1.59
acq_Arab,	0.94
mal_Mlym,	1.01
snd_Arab,	1.69
ces_Latn,	1.63
cat_Latn,	2.69
afr_Latn,	2.16
ace_Arab,	0.69
gla_Latn,	2.17
ace_Latn,	1.24
srp_Cyrl,	1.64
mni_Beng,	1
slv_Latn,	1.74
als_Latn,	2.72
ell_Grek,	2.62
knc_Arab,	0.17
nso_Latn,	3.15
pbt_Arab,	2.14
zho_Hant,	0.21
epo_Latn,	1.96
plt_Latn,	2.14
bjn_Latn,	1.09
ajp_Arab,	0.84
amh_Ethi,	0.62
bel_Cyrl,	1.51
cym_Latn,	2.04
swe_Latn,	1.85
yue_Hant,	0.65
nld_Latn,	2.11
kir_Cyrl,	1.62
pes_Arab,	1.72
ben_Beng,	1.5
khk_Cyrl,	1.51
lvs_Latn,	1.8
ibo_Latn,	2.64
ukr_Cyrl,	1.9
por_Latn,	1.99
khm_Khmr,	1.01
ron_Latn,	2.3
uzn_Latn,	1.45
kan_Knda,	1.29
hau_Latn,	1.64
lit_Latn,	1.96
arb_Latn,	0.2
rus_Cyrl,	1.32
mkd_Cyrl,	1.91
ceb_Latn,	3.3
kat_Geor,	0.85
ydd_Hebr,	1.52
mri_Latn,	3.47
ind_Latn,	1.78
zsm_Latn,	2.01
urd_Arab,	1.86
azb_Arab,	1.15
bul_Cyrl,	1.75
knc_Latn,	1.23
zul_Latn,	1.17
jpn_Jpan,	0.47
mlt_Latn,	1.31
fin_Latn,	1.31
npi_Deva,	1.24
bjn_Arab,	0.71
kmr_Latn,	1.89
deu_Latn,	1.66
zho_Hans,	0.4
est_Latn,	1.42
kor_Hang,	1.07
tam_Taml,	1.65
sun_Latn,	1.38
nno_Latn,	1.4
eng_Latn,	2.17
swh_Latn,	3.16
isl_Latn,	1.71
hye_Armn,	1.39
spa_Latn,	2.7
ary_Arab,	0.79
