Languages,	Evaluation results
Avg,	1.44
vie_Latn,	3.23
tgk_Cyrl,	1.54
som_Latn,	1.37
heb_Hebr,	1.81
tha_Thai,	0.6
kas_Arab,	0.48
taq_Latn,	1.46
lao_Laoo,	0.61
acm_Arab,	0.41
apc_Arab,	0.63
arb_Arab,	0.99
fra_Latn,	2.57
tur_Latn,	0.87
min_Latn,	1.79
xho_Latn,	0.69
azj_Latn,	1.67
mya_Mymr,	0.19
ita_Latn,	3.12
hun_Latn,	1.81
hat_Latn,	1.56
glg_Latn,	2.11
eus_Latn,	1.29
smo_Latn,	3.35
kaz_Cyrl,	0.99
ars_Arab,	0.49
aeb_Arab,	1.25
yor_Latn,	0.27
ckb_Arab,	0.79
hin_Deva,	1.26
min_Arab,	0.29
gle_Latn,	2.05
pol_Latn,	2.33
nob_Latn,	2.22
guj_Gujr,	0.3
ltz_Latn,	1.25
sin_Sinh,	0.23
jav_Latn,	1.66
arz_Arab,	0.97
sot_Latn,	3.12
sna_Latn,	1.07
dan_Latn,	2.51
mar_Deva,	1.2
slk_Latn,	1.72
tel_Telu,	0.06
acq_Arab,	0.91
mal_Mlym,	0.71
snd_Arab,	0.71
ces_Latn,	1.73
cat_Latn,	1.87
afr_Latn,	1.62
ace_Arab,	0.48
gla_Latn,	2.9
ace_Latn,	1.45
srp_Cyrl,	1.5
mni_Beng,	0.38
slv_Latn,	2.68
als_Latn,	3.21
ell_Grek,	0.79
knc_Arab,	0.24
nso_Latn,	2.71
pbt_Arab,	1.14
zho_Hant,	0.53
epo_Latn,	1.83
plt_Latn,	2.25
bjn_Latn,	1.42
ajp_Arab,	0.93
amh_Ethi,	0.22
bel_Cyrl,	1.19
cym_Latn,	1.36
swe_Latn,	1.92
yue_Hant,	0.57
nld_Latn,	3.01
kir_Cyrl,	1.78
pes_Arab,	0.84
ben_Beng,	0.6
khk_Cyrl,	1.27
lvs_Latn,	1.93
ibo_Latn,	2.45
ukr_Cyrl,	1.63
por_Latn,	2.32
khm_Khmr,	0.39
ron_Latn,	2.71
uzn_Latn,	1.65
kan_Knda,	0.14
hau_Latn,	2.32
lit_Latn,	2.31
arb_Latn,	0.35
rus_Cyrl,	2.35
mkd_Cyrl,	1.77
ceb_Latn,	2.45
kat_Geor,	0.6
ydd_Hebr,	1.08
mri_Latn,	1.97
ind_Latn,	2.77
zsm_Latn,	2.98
urd_Arab,	1.15
azb_Arab,	0.45
bul_Cyrl,	2.33
knc_Latn,	1.48
zul_Latn,	0.71
jpn_Jpan,	0.58
mlt_Latn,	1.26
fin_Latn,	1.92
npi_Deva,	0.64
bjn_Arab,	0.39
kmr_Latn,	1.31
deu_Latn,	2.39
zho_Hans,	0.39
est_Latn,	1.24
kor_Hang,	0.9
tam_Taml,	0.63
sun_Latn,	1.83
nno_Latn,	1.39
eng_Latn,	2.51
swh_Latn,	2.07
isl_Latn,	1.32
hye_Armn,	0.46
spa_Latn,	4.17
ary_Arab,	0.87
