Languages,	Evaluation results
Avg,	1.29
vie_Latn,	2.56
tgk_Cyrl,	1.34
som_Latn,	1.1
heb_Hebr,	1.52
tha_Thai,	0.47
kas_Arab,	1.44
taq_Latn,	0.88
lao_Laoo,	1.07
acm_Arab,	0.84
apc_Arab,	0.35
arb_Arab,	0.58
fra_Latn,	1.77
tur_Latn,	0.46
min_Latn,	1.63
xho_Latn,	0.28
azj_Latn,	0.97
mya_Mymr,	0.27
ita_Latn,	1.77
hun_Latn,	1.53
hat_Latn,	1.57
glg_Latn,	1.81
eus_Latn,	1.15
smo_Latn,	3.54
kaz_Cyrl,	1.11
ars_Arab,	1.01
aeb_Arab,	0.53
yor_Latn,	0.42
ckb_Arab,	1.19
hin_Deva,	2.61
min_Arab,	0.34
gle_Latn,	0.86
pol_Latn,	1.07
nob_Latn,	1.63
guj_Gujr,	1.92
ltz_Latn,	0.96
sin_Sinh,	0.93
jav_Latn,	1.42
arz_Arab,	0.81
sot_Latn,	2.29
sna_Latn,	0.64
dan_Latn,	1.93
mar_Deva,	0.89
slk_Latn,	1.92
tel_Telu,	1.29
acq_Arab,	0.65
mal_Mlym,	0.93
snd_Arab,	0.72
ces_Latn,	1.31
cat_Latn,	2.66
afr_Latn,	1.84
ace_Arab,	0.87
gla_Latn,	0.98
ace_Latn,	1.21
srp_Cyrl,	1.12
mni_Beng,	1.01
slv_Latn,	2.05
als_Latn,	1.78
ell_Grek,	1.81
knc_Arab,	0.55
nso_Latn,	2.13
pbt_Arab,	1.85
zho_Hant,	0.29
epo_Latn,	1.58
plt_Latn,	2.49
bjn_Latn,	0.81
ajp_Arab,	0.85
amh_Ethi,	0.36
bel_Cyrl,	1.1
cym_Latn,	1.31
swe_Latn,	1.57
yue_Hant,	0.45
nld_Latn,	2.03
kir_Cyrl,	1.12
pes_Arab,	1.95
ben_Beng,	1.17
khk_Cyrl,	1.18
lvs_Latn,	1.55
ibo_Latn,	1.93
ukr_Cyrl,	2.26
por_Latn,	1.52
khm_Khmr,	1.28
ron_Latn,	1.36
uzn_Latn,	1.43
kan_Knda,	1.4
hau_Latn,	1.42
lit_Latn,	1.15
arb_Latn,	0.42
rus_Cyrl,	1.12
mkd_Cyrl,	1.55
ceb_Latn,	2.21
kat_Geor,	0.81
ydd_Hebr,	1.48
mri_Latn,	1.55
ind_Latn,	1.36
zsm_Latn,	2.22
urd_Arab,	1.92
azb_Arab,	0.94
bul_Cyrl,	1.76
knc_Latn,	0.71
zul_Latn,	0.83
jpn_Jpan,	0.56
mlt_Latn,	0.97
fin_Latn,	1.24
npi_Deva,	0.87
bjn_Arab,	0.87
kmr_Latn,	1.04
deu_Latn,	1.42
zho_Hans,	0.2
est_Latn,	1.5
kor_Hang,	1.28
tam_Taml,	1.29
sun_Latn,	1.39
nno_Latn,	1.67
eng_Latn,	2.31
swh_Latn,	1.29
isl_Latn,	1.28
hye_Armn,	0.97
spa_Latn,	2.02
ary_Arab,	0.48
